conv_gamma,lin_gamma,raw_mean,raw_std,raw_min,raw_percentile,raw_robustness_ratio,raw_stability,raw_robustness_score,norm_mean,norm_std,norm_min,norm_percentile,norm_robustness_ratio,norm_stability,norm_robustness_score,score_correlation,num_images
0.4,0.075,0.7686706146380554,0.4015495415559096,-0.11007139086723328,1.3287896126508714,0.9833333333333333,0.7134960059206075,0.42208770169023335,2.316355157084763,3.4337600813234994,-0.11634919047355652,6.106320327520375,0.9833333333333333,0.22554219932024266,0.5827273483569362,-0.14851927976154602,60
0.4,0.1,0.7612125614735609,0.39999334923166296,-0.19639819860458374,1.3034653306007384,0.9833333333333333,0.7142891075509857,0.38630329845150774,2.344700344434629,3.514788207115039,-0.20759962499141693,8.395258328318596,0.9833333333333333,0.22149433243049124,0.5506818519528398,-0.15784256471469002,60
0.4,0.15,0.7395491069648414,0.4026110105620297,-0.18005286157131195,1.2747314274311066,0.9833333333333333,0.7129560458813863,0.38810882386219275,2.1663187207654118,3.163433790883115,-0.19032201170921326,6.5720223784446725,0.9833333333333333,0.2401863582386614,0.5275241802743289,-0.1516985071847617,60
0.4,0.25,0.7240074517874746,0.4157496205234609,-0.3348071873188019,1.2958827883005142,0.9833333333333333,0.7063395854065345,0.32111382438526787,2.1148564146618205,3.251675312928377,-0.35390259325504303,4.734662860631946,0.9833333333333333,0.23520140330547526,0.45030399995532283,-0.09381825262936151,60
0.7,0.0,0.8314596427298966,0.4096432998444224,-0.24061405658721924,1.2686549276113512,0.9833333333333333,0.7093993211689558,0.38119943559511166,2.5221403092922023,3.8147020183808436,-0.254337340593338,6.29287121295929,0.9833333333333333,0.2076971734039512,0.563335610975624,-0.20348183614007745,60
0.7,0.025,0.8100333162893851,0.390810136910314,-0.04534462094306946,1.3634524017572403,0.9833333333333333,0.7190054008532759,0.45790376846996533,2.481006810426091,3.6949489733661975,-0.04793083667755127,7.116455650329593,0.9833333333333333,0.21299486015138036,0.6392608187929452,-0.16207540508757926,60
0.7,0.05,0.7817475077114068,0.3994514467953467,0.03787104785442352,1.3402389287948608,1.0,0.7145656980740098,0.48586763010625367,2.3369875577860513,3.4295397065353757,0.04003092646598816,7.017708608508113,1.0,0.22575709131235294,0.6511370095373114,-0.17013163147458593,60
0.7,0.075,0.759937547861288,0.4056611768342281,-0.05902358889579773,1.3564908653497696,0.9833333333333333,0.7114089913560526,0.4401341047540876,2.2857737069483846,3.4019977100836885,-0.06238996982574463,7.2933632403612165,0.9833333333333333,0.22716958659685185,0.598682962771768,-0.14576736830202322,60
0.7,0.1,0.744062650653844,0.4065218363392623,-0.14455197751522064,1.259325721859932,0.9833333333333333,0.710973675746612,0.40261717518199747,2.1786179314057033,3.1812879265727045,-0.1527964025735855,7.913074840605259,0.9833333333333333,0.23916076040706308,0.5446865867071586,-0.13539764952843764,60
0.7,0.15,0.7295631364298364,0.4100167857329241,-0.2669794149696827,1.2924924403429032,0.9833333333333333,0.7092114151536159,0.35021761917751226,2.1437645909221223,3.1245850632184595,-0.28220636025071144,6.556735377013684,0.9833333333333333,0.24244863051016552,0.4869382965705229,-0.1362787462387417,60
0.7,0.25,0.7088361349112043,0.41905297366918415,-0.36051884293556213,1.3443822860717773,0.9833333333333333,0.7046953274861495,0.3073016213871942,2.0401309560596324,3.1080273818539372,-0.3810806907713413,4.622037082538013,0.9833333333333333,0.24342583606361062,0.4269549990558065,-0.08791462800979537,60
1.0,0.0,0.8299642116064205,0.41275166388010026,-0.2093336284160614,1.2774263918399813,0.9833333333333333,0.7078384868105663,0.39294427033136275,2.5047569113007437,3.8179932590141203,-0.2212727665901184,6.180479845404626,0.9833333333333333,0.20755529247141882,0.5730421966988604,-0.19529102094208783,60
1.0,0.025,0.8045581060859452,0.3872581082179466,-0.028758615255355835,1.3375625610351562,0.9833333333333333,0.7208463904994483,0.46399542559821455,2.449762944088434,3.6696516666447843,-0.03039887547492981,6.672834134101871,0.9833333333333333,0.21414873557764005,0.6403709926343402,-0.1617829895821842,60
1.0,0.05,0.7770723706770999,0.4013935351227062,-0.12024648487567902,1.352809938788414,0.9833333333333333,0.7135754339786075,0.41972184371206395,2.4009134670603087,3.679701725672454,-0.12710465490818024,7.10476185679436,0.9833333333333333,0.21368883288310522,0.5917808146470546,-0.13933067315368802,60
1.0,0.075,0.7547075219840432,0.40387775767415085,-0.031151875853538513,1.3338366210460664,0.9833333333333333,0.7123127313141081,0.450507906782959,2.293679664283991,3.4503156762098506,-0.03292859345674515,7.187549859285357,0.9833333333333333,0.22470316102422166,0.6113087771146999,-0.13391761344269992,60
1.0,0.1,0.7425315855381389,0.40566884904923695,-0.1073661670088768,1.2869914442300796,0.9833333333333333,0.7114051084481082,0.41731471617184285,2.199064504308626,3.2400862031105317,-0.11348967999219894,7.782731211185456,0.9833333333333333,0.23584426167241576,0.5635036406999037,-0.12318835862129197,60
